geneID	A1AbRi	A5AbRi	A9AbRi	A2CRi	A6CRi	A10CRi	A3AbTo	A7AbTo	A11AbTo	A4CTo	A8CTo	A12CTo
ENSRNOG00000003784	0.325220367	0.232308809	0.322585754	0.66073206	0.085643955	0.194438491	0.374843423	0.265458417	0.330521324	0.223187781	0.517918311	0.142763335
Novel00121	0.42016944	0.12862803	0.153097584	0.548765223	0.284523346	0.215318913	0.368975313	0.342959808	0.640527042	0.593173297	0.62133141	0.579679649
ENSRNOG00000010036	0	0	0	0	0	0	0.074563761	0	0	0	0	0
ENSRNOG00000002755	168.6092184	141.1667722	143.950468	94.49595429	145.4391001	151.0221094	190.2816598	196.7727098	209.5178405	189.1243939	193.7529968	208.6959789
ENSRNOG00000026008	11.95592174	8.020567126	13.77314964	6.552928511	9.790328825	12.83169183	12.3546536	12.64898762	12.88403614	11.72325386	11.97240414	11.32704752
ENSRNOG00000006593	59.28692215	67.6070494	54.4291038	82.15441369	63.64098669	51.97641249	44.5339724	45.1373587	50.78297275	44.88299472	45.68346287	49.99682827
ENSRNOG00000046094	4.175650961	2.278138613	5.954163154	4.275117809	1.922172776	7.430478366	3.233786459	4.240297427	3.709071415	3.790726294	4.738627579	3.290745268
ENSRNOG00000047608	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012205	0	0	0	0	0	0	0.084633591	0	0	0.060470636	0	0
ENSRNOG00000024858	0.209814341	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030198	0	0	0.131129939	0	0	0	0	0	0.117561255	0	0	0
ENSRNOG00000026392	3.04666258	4.185130045	3.586527544	1.190333509	4.837016172	3.546668133	4.772080713	4.471481013	4.867775322	4.463100552	3.988785333	4.912395585
ENSRNOG00000046530	21.2120555	19.88012127	17.47500773	23.63166478	18.59285189	17.25259193	19.12467527	18.35680498	19.73837183	19.5086646	20.31146017	20.69609623
ENSRNOG00000007115	29.65914004	22.60775057	20.47756512	18.60277625	17.45562884	28.38344953	30.89616359	34.28258067	29.58624909	31.63759913	33.60173339	28.66058694
ENSRNOG00000009970	7.81512747	7.387539417	4.655068926	5.038985507	5.804428708	5.455803401	6.904014963	5.615076724	4.99379422	7.476446822	5.663914873	5.957397009
ENSRNOG00000050057	3.194649854	1.690353117	7.34349866	0.721154637	1.542352632	5.729926162	21.72892805	21.24716285	25.88358388	22.60587956	23.08230204	26.28142854
ENSRNOG00000004307	3.360161012	1.848432437	3.841911502	2.903288572	1.525636513	3.602217569	3.027066124	3.278634015	3.120539705	2.512707007	3.628911505	1.831064073
